name,address,zip,category,source,lat,lon,geoid,open_24h,n_source_rows_merged
LA JOVA HAIR & NAIL GALLERY,1128 W CAMP WISDOM RD,75232,barbershop_beauty,CO,32.662098,-96.840482,48113011101,,1
CROWN SPIRITS & BEVERAGES,8451 PARK LANE,75231,liquor_store,CO;TABC,32.871092,-96.759518,48113007821,,2
BARRY'S BOOTCAMP,3600 MCKINNEY AVE Ste:150,75204,barbershop_beauty,CO,32.807443,-96.797332,48113000704,,1
EL MAYOREO MEAT MARKET,1105 S WALTON WALKER BLVD,75211,convenience_corner_store,CO,32.735976,-96.920375,48113021200,,1
BOOST,3225 FORT WORTH AVE Ste:160,75211,convenience_corner_store,CO,32.75407,-96.873157,48113006900,,1
"BSY DALLAS, LLC",5118 W LOVERS LN,75209,barbershop_beauty,CO,32.851173,-96.822855,48113007102,,1
1 QUICK STOP,3525 W LEDBETTER DR Ste:A,75233,convenience_corner_store,CO,32.691306,-96.879131,48113010806,,1
GENJI SUSHI,2118 ABRAMS RD Ste:100,75214,convenience_corner_store,CO,32.81566,-96.752887,48113000100,,1
DOMINO'S,13410 PRESTON RD Ste:B,75240,convenience_corner_store,CO,32.930325,-96.803464,48113013608,,1
LIDO,7035 JOHN W CARPENTER FWY,75247,other_storefront,CO,32.815235,-96.868242,48113010003,,1
YOU SALON,4828 COLUMBIA AVE Ste:220,75226,barbershop_beauty,CO,32.794984,-96.763711,48113001502,,1
DOMINO'S,6045 SHERRY LN,75225,convenience_corner_store,CO,32.862156,-96.80744,48113007301,,1
POSTURE PERFECT WELLNESS CENTER,15110 DALLAS PKWY Ste:102,75248,barbershop_beauty,CO,32.955184,-96.821642,48113013620,,1
SAMS CLUB 6182,3972 N CENTRAL EXPY,75204,convenience_corner_store,CO,32.808151,-96.792705,48113000802,,1
SAM,3964 N CENTRAL EXPY,75204,convenience_corner_store,CO,32.809735,-96.792067,48113000802,,1
