name,address,zip,category,geoid,tier,reach_raw,need_composite,need_grounded,rank_score_composite,rank_score_grounded,rank_composite,rank_grounded,in_top50_both,greedy_pick_order,data_completeness
SUPER FUELS LOMBARDY LLC,3400 LOMBARDY LN STE 108,75220,liquor_store,48113007205,1.0,14289,0.566645,0.8395773308974355,0.6813553305636969,0.6840136739761883,1,5,True,3,complete
LA MICHOACANA MEAT MARKET DALLAS #30,3380 LOMBARDY LANE,75220,liquor_store,48113007205,1.0,14231,0.566645,0.8395773308974355,0.6785896640249122,0.6812372170449392,2,6,True,,complete
LIRAS BARBER SHOP,3400 LOMBARDY LN,75220,barbershop_beauty,48113007205,1.0,14066,0.566645,0.8395773308974355,0.6707218195611282,0.6733386757750064,3,7,True,,complete
FIESTA MART #77,3460 WEBB CHAPEL EXTENSION,75220,liquor_store,48113007206,1.0,12256,0.605465,0.9047413796838146,0.6376020288615091,0.6338862949379959,4,12,True,,complete
Fiesta Mart Fuel Station #177,3434 Webb Chapel Ext,75220,liquor_store,48113007206,1.0,12256,0.605465,0.9047413796838146,0.6376020288615091,0.6338862949379959,5,13,True,,complete
7-ELEVEN CONVENIENCE STORE # 38111A,9707 WEBB CHAPEL ROAD,75220,convenience_corner_store,48113007206,1.0,11959,0.605465,0.9047413796838146,0.6221510005837784,0.6185253101471518,6,22,True,,complete
BURMESE ASIAN GROCERY STORE,8361 PARK LN Ste:100,75231,convenience_corner_store,48113007815,1.0,17437,0.453707,0.7296254228449779,0.6113126485133556,0.7214191575646156,7,3,True,1,complete
MARU GROCERY LLC,8353 PARK LN,75231,convenience_corner_store,48113007815,1.0,17437,0.453707,0.7296254228449779,0.6113126485133556,0.7214191575646156,8,4,True,,complete
1 ABC BEER WINE,9625 WEBB CHAPEL ROAD SUITE 100A,75220,convenience_corner_store,48113007206,1.0,11694,0.605465,0.9047413796838146,0.6083647295615607,0.6048193809566681,9,24,True,,complete
FIESTA MART #32,9727 WEBB CHAPEL RD,75220,liquor_store,48113009804,1.0,14156,0.52374,0.7785353929935459,0.6071151367125339,0.6265867731633231,10,14,True,,complete
EL PARAISO RESTAURANTE,3373 LOMBARDY LANE,75220,liquor_store,48113009804,1.0,14118,0.52374,0.7785353929935459,0.6054854125535146,0.6249047798474,11,15,True,,complete
Coin Laundry,,,laundromat,48113009804,1.0,13940,0.52374,0.7785353929935459,0.5978514414928456,0.6170259690517607,12,23,True,,complete
SHOE PALACE,9683 WEBB CHAPEL RD,75220,grocery_food_mart,48113007206,1.0,11446,0.605465,0.9047413796838146,0.5954628608313344,0.5919927000538757,13,27,True,,complete
PERFURMS AGUIRRE,3460 WEBB CHAPEL EXT Ste:5,75220,convenience_corner_store,48113007205,1.0,12256,0.566645,0.8395773308974355,0.5844139499887094,0.586694071541197,14,29,True,,complete
METRO BY T-MOBILE - KJ MOBILE,3440 WEBB CHAPEL EXT,75220,convenience_corner_store,48113007205,1.0,12256,0.566645,0.8395773308974355,0.5844139499887094,0.586694071541197,15,30,True,,complete
ICE HOUSE BEVERAGE #2,9430 LARGA DRIVE SUITE 101,75220,liquor_store,48113007206,1.0,11143,0.605465,0.9047413796838146,0.5796996905681949,0.5763213923379641,16,33,True,,complete
CHILLY MART #11,9763 WEBB CHAPEL ROAD,75220,liquor_store,48113009804,1.0,13481,0.52374,0.7785353929935459,0.578166089151008,0.5967092603146904,17,26,True,,complete
Royal Chopstix,9625 Webb Chapel Rd Suite 400,75220,liquor_store,48113007206,1.0,11062,0.605465,0.9047413796838146,0.5754857737651774,0.572132032849552,18,34,True,,complete
VICKERY MEADOW BRANCH LIBRARY,8333 PARK LN,75231,library,48113007815,1.0,16110,0.453707,0.7296254228449779,0.5647902028760773,0.6665173268547318,19,8,True,,complete
BONITO FOOD STORE,7020 FAIR OAKS AVE Ste:100 A,75231,convenience_corner_store,48113007815,1.0,16047,0.453707,0.7296254228449779,0.5625815261050535,0.6639108345150764,20,9,True,,complete
NEW ELEGANT SALON SPA,9730 WEBB CHAPEL RD Ste:B,75220,barbershop_beauty,48113009804,1.0,13099,0.52374,0.7785353929935459,0.5617830726050778,0.5798008011914643,21,32,True,,complete
SISTER'S FOOD TO GO,8336 PARK LN Ste:B,75231,convenience_corner_store,48113007815,1.0,15836,0.453707,0.7296254228449779,0.5551842118401962,0.6551811538219449,22,11,True,,complete
NEVERIA TROPICANA,9430 LARGA DR Ste:201,75220,convenience_corner_store,48113007206,1.0,10671,0.605465,0.9047413796838146,0.555144521049377,0.5519093222326495,23,40,True,,complete
CONOCO,9763 WEBB CHAPEL RD,75220,grocery_food_mart,48113009804,1.0,12838,0.52374,0.7785353929935459,0.5505894408812878,0.568248162889993,24,35,True,,complete
JP Discount Beer & Wine Beverages,9757 Webb Chapel Rd,75220,liquor_store,48113009804,1.0,12800,0.52374,0.7785353929935459,0.5489597167222685,0.56656616957407,25,37,True,,complete
JP DISCOUNT BEER & WINE,9757 WEBB CHAPEL RD,75220,convenience_corner_store,48113009804,1.0,12514,0.52374,0.7785353929935459,0.5366938980517554,0.5539069567226494,26,38,True,,complete
TAQUERIA TAXCO,3025 WEBB CHAPEL EXT Ste:103,75220,convenience_corner_store,48113007204,1.0,12363,0.510326,0.7699757296925895,0.5116786375658129,0.5409701636668102,27,42,True,,complete
ALL-N-GO,3025 WEBB CHAPEL EXT,75220,liquor_store,48113007204,1.0,12363,0.510326,0.7699757296925895,0.5116786375658129,0.5409701636668102,28,43,True,,complete
Vickery Park,8333 Park Lane,75231,library,48113007815,1.0,14308,0.453707,0.7296254228449779,0.5016150355525086,0.5919633713617319,29,28,True,,complete
LAVANDERIA,8202 SPRING VALLEY RD Ste:400,75240,laundromat,48113019208,1.0,12753,0.490048,0.7468611555818807,0.49890995894963386,0.5406169232205948,30,44,True,5,complete
CROWN SPIRITS & BEVERAGES,8451 PARK LANE,75231,liquor_store,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,31,16,True,,complete
7-ELEVEN CONVENIENCE STORE #17433C,8440 PARK LN,75231,convenience_corner_store,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,32,17,True,,complete
DOMINO'S PIZZA,8446 PARK LN,75231,convenience_corner_store,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,33,18,True,,complete
Crowne Spirits & Beverages,8451 Park Lane,,liquor_store,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,34,19,True,,complete
24 Hour Store,8455 Park Lane,,convenience_corner_store,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,35,20,True,,complete
Hair Pro Salon,8451 Park Lane,,barbershop_beauty,48113007821,2.0,16489,0.408663,0.6652298664803632,0.49504612683417876,0.6194548612339758,36,21,True,,complete
