zcta,NAME,pct_uninsured_acs2024
75001,ZCTA5 75001,14.9
75002,ZCTA5 75002,9.0
75006,ZCTA5 75006,22.3
75007,ZCTA5 75007,14.1
75009,ZCTA5 75009,4.8
75010,ZCTA5 75010,8.6
75013,ZCTA5 75013,5.9
75019,ZCTA5 75019,8.1
75020,ZCTA5 75020,16.8
75021,ZCTA5 75021,11.0
75022,ZCTA5 75022,4.6
75023,ZCTA5 75023,12.9
75024,ZCTA5 75024,6.4
75025,ZCTA5 75025,6.8
75028,ZCTA5 75028,4.3
75032,ZCTA5 75032,8.3
75033,ZCTA5 75033,7.2
75034,ZCTA5 75034,9.8
75035,ZCTA5 75035,5.3
75036,ZCTA5 75036,5.1
75038,ZCTA5 75038,17.0
75039,ZCTA5 75039,6.8
75040,ZCTA5 75040,22.7
75041,ZCTA5 75041,34.3
75042,ZCTA5 75042,33.7
75043,ZCTA5 75043,24.1
75044,ZCTA5 75044,16.6
75048,ZCTA5 75048,8.9
75050,ZCTA5 75050,25.2
75051,ZCTA5 75051,27.9
75052,ZCTA5 75052,13.1
75054,ZCTA5 75054,8.8
75056,ZCTA5 75056,9.3
75057,ZCTA5 75057,19.3
75058,ZCTA5 75058,12.7
75060,ZCTA5 75060,31.4
75061,ZCTA5 75061,35.1
75062,ZCTA5 75062,23.6
75063,ZCTA5 75063,8.0
75065,ZCTA5 75065,12.5
75067,ZCTA5 75067,18.0
75068,ZCTA5 75068,11.8
75069,ZCTA5 75069,16.3
75070,ZCTA5 75070,7.2
75071,ZCTA5 75071,6.4
75072,ZCTA5 75072,4.7
75074,ZCTA5 75074,20.9
75075,ZCTA5 75075,10.0
75076,ZCTA5 75076,8.4
75077,ZCTA5 75077,7.7
75078,ZCTA5 75078,5.1
75080,ZCTA5 75080,11.4
75081,ZCTA5 75081,18.4
75082,ZCTA5 75082,10.0
75087,ZCTA5 75087,8.0
75088,ZCTA5 75088,12.1
75089,ZCTA5 75089,12.4
75090,ZCTA5 75090,21.1
75092,ZCTA5 75092,14.4
75093,ZCTA5 75093,6.1
75094,ZCTA5 75094,6.7
75098,ZCTA5 75098,12.6
75101,ZCTA5 75101,29.3
75102,ZCTA5 75102,12.4
75103,ZCTA5 75103,17.2
75104,ZCTA5 75104,13.5
75105,ZCTA5 75105,4.2
75109,ZCTA5 75109,12.6
75110,ZCTA5 75110,21.1
75114,ZCTA5 75114,19.7
75115,ZCTA5 75115,13.1
75116,ZCTA5 75116,25.4
75117,ZCTA5 75117,7.3
75119,ZCTA5 75119,19.9
75124,ZCTA5 75124,9.3
75125,ZCTA5 75125,23.9
75126,ZCTA5 75126,12.1
75127,ZCTA5 75127,9.6
75132,ZCTA5 75132,
75134,ZCTA5 75134,15.5
75135,ZCTA5 75135,12.6
75137,ZCTA5 75137,19.1
