Organization,full,Address,City,State,Zipcode,Phone,Hours,Type,LegnedIcon,Process,AdditionalInfo,Website,VerifiedOn,N_LON,N_LAT,N_MCODE,N_LCODE
Vape Nation,523 S Magnolia Street Suite B Woodville Texas 75979,523 S Magnolia St,Woodville,TX,75959,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the naloxone dispenser located on the side of the building; simply pull the handle to open the machine door and access naloxone.,Donated and monitored by ICON Program,,5/12/2025,-94.414776,30.770075,S900,AS0
Faith Mission Wichita Falls,1300 Travis St Wichita Falls TX 76301,1300 Travis St,Wichita Falls,TX,76301,940-723-5663,M-F: 6a-8p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can access the vending machine during operating hours,,https://faithmissionwf.org/,3/27/2025,-98.49038,33.905571,S800,AS0
Unity Recovery,1704 Santa Fe Drive Suite 200 Weatherford TX 76086,1704 Santa Fe Dr,Weatherford,TX,76086,817-550-6188,10a-5p (m-f) sat: 10-3 and sun: 1-6p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Two ways to order: Contact call center at 817-550-6188; order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; individuals can pick up their orders within 48 hours,invidividuals interested in free naloxone training can contact Ashley via email: ashley.gainey@unityrecovery.org,https://unityrecovery.org/,8/26/2025,-97.773789,32.739594,S800,AS0
Midcoast Family Services,2010 N Navarro Suite A Victoria TX 77901,2010 N Navarro,Victoria,TX,77901,361-575-7842,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the naloxone dispenser located in the front of the facility.,Donated and monitored by ICON Program,http://www.midcoastfamily.org/,5/12/2025,-96.99981,28.81331,S810,AS0
Hilltop Recovery Ministries,509 South 9th Street Temple TX 76504,509 South 9th Street,Temple,TX,76504,254-239-7623,24/7,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals must call in advance to schedule an appointment,"Offers restoration services to women 18 years and older in Bell County who are facing various struggles such as addiction, abuse, and homelessness.",https://hilltoprecoveryministries.org/,3/31/2025,-97.347847,31.092793,S800,AS0
Texoma Community Center,315 W McLain Dr Sherman TX 75092,315 W McLain Dr,Sherman,TX,75092,903-957-4803,M-F: 8a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can can come in during business hours and check-in with the front desk to obtain naloxone (no identification card required),"Adult & Adolescent Outpatient Substance Use Disorder Treatment, OSAR, OBOT, MAT-AUD, Recovery Support Services, and Prevention & Education.",https://texomacc.org/,3/28/2025,-96.61983,33.662477,S800,AS0
Texoma Community Center,315 W McLain Dr Sherman TX 75092,315 W McLain Dr,Sherman,TX,75092,903-957-4803,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Vending machine (white newspaper dispenser) located on the porch of Substance Use Dept. Free to anyone, Available 24 hours a day.","Adult & Adolescent Outpatient Substance Use Disorder Treatment, OSAR, OBOT, MAT-AUD, Recovery Support Services, and Prevention & Education.",https://texomacc.org/,6/16/2025,-96.61983,33.662477,S800,AS0
Southside Community Center,518 S Guadalupe St San Marcos TX 78666,518 S Guadalupe St,San Marcos,TX,78666,512-392-6694,8a-6p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the naloxone dispenser during hours of operation; dispenser located in the gym/cafeteria area.,Donated and monitored by ICON Program,https://www.southsidecommunitycenter.org/,6/22/2025,-97.940318,29.875288,S800,AS0
Hays County Sheriff's Department,1307 Uhland Rd San Marcos TX 78666,1307 Uhland Rd,San Marcos,TX,78666,n/a,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access the naloxone dispenser during standard business hours: 8AM5PM. Outside of those hours, individuals can ring the bell and let staff know what theyre there to get narcan and someone will buzz them in.",Donated and monitored by ICON Program,,5/23/2025,-97.904574,29.895565,S800,AS2
San Antonio Council on Alcohol and Drug Awareness,7500 W US Highway 90 Dave Coy Bldg Ste 201 San Antonio TX 78227,7500 W US Highway 90,San Antonio,TX,78227,210-225-4741,M-F: 8a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,"Community members, partners and clients can request naloxone as well as training using this form: https://form.jotform.com/Sacada7500/sacada-adult-services-request-form. We respond to these request during normal business hours.",Offers naloxone training,https://sacada.org/,4/23/2025,-98.637918,29.399732,S800,AS0
